Invoice ID,Branch,City,Customer Names,Customer type,Gender,Product line,Unit price,Quantity,Date,Payment,Gross Income
258-69-7810,C,Nay, Michael.Parker,Normal,Female,Fashion accessories,36.85,5,13-11-20,Cash,9.2125
334-64-2006,A,Yan, Addison.Rodriguez,Member,Female,Home and lifestyle,70.32,2,07-02-20,Ewallet,7.032
219-61-4139,C,Nay, Jacob.Thompson,Normal,Male,Electronic accessories,83.08,1,18-10-20,Ewallet,4.154
881-41-7302,C,Nay, Hailey.Jones,Normal,Female,Fashion accessories,64.99,1,30-01-20,Credit card,3.2495
373-09-4567,C,Nay, Elijah.Campbell,Normal,Male,Food and beverages,77.56,10,06-11-20,Ewallet,38.78
642-30-6693,B,Man, Avery.Green,Normal,Female,Sports and travel,54.51,6,01-07-20,Ewallet,16.353
484-22-8230,C,Nay, Zoey.Collins,Member,Female,Fashion accessories,51.89,7,08-11-20,Cash,18.1615
830-58-2383,B,Man, Benjamin.White,Normal,Male,Home and lifestyle,31.75,4,18-04-20,Cash,6.35
559-98-9873,A,Yan, Brooklyn.Ramirez,Member,Female,Fashion accessories,53.65,7,13-11-20,Ewallet,18.7775
544-32-5024,C,Nay, Caleb.Mitchell,Member,Female,Food and beverages,49.79,4,07-03-20,Credit card,9.958
318-12-0304,A,Yan, Natalie.Anderson,Normal,Male,Fashion accessories,30.61,1,07-03-20,Ewallet,1.5305
349-97-8902,B,Man, Owen.Rivera,Member,Male,Food and beverages,57.89,2,22-04-20,Ewallet,5.789
421-95-9805,A,Yan, Chloe.Kim,Normal,Female,Electronic accessories,28.96,1,28-12-20,Credit card,1.448
277-35-5865,C,Nay, Tyler.Thomas,Member,Female,Food and beverages,98.97,9,13-11-20,Cash,44.5365
789-23-8625,B,Man, Audrey.Hernandez,Member,Male,Fashion accessories,93.22,3,08-06-20,Cash,13.983
284-54-4231,C,Nay, Ryan.Campbell,Member,Male,Sports and travel,80.93,1,03-08-20,Credit card,4.0465
443-59-0061,A,Yan, Madelyn.Johnson,Member,Male,Food and beverages,67.45,10,25-02-20,Ewallet,33.725
509-29-3912,A,Yan, Connor.Anderson,Member,Female,Sports and travel,38.72,9,14-09-20,Ewallet,17.424
327-40-9673,B,Man, Arianna.Green,Member,Male,Sports and travel,72.6,6,01-02-20,Cash,21.78
840-19-2096,C,Nay, Joshua.White,Member,Male,Electronic accessories,87.91,5,07-12-20,Ewallet,21.9775
828-46-6863,A,Yan, Elizabeth.Mitchell,Member,Male,Food and beverages,98.53,6,10-08-20,Credit card,29.559
641-96-3695,C,Nay, William.Campbell,Member,Female,Fashion accessories,43.46,6,07-03-20,Ewallet,13.038
420-97-3340,A,Yan, Ava.Andrews,Normal,Female,Food and beverages,71.68,3,02-05-20,Credit card,10.752
436-54-4512,A,Yan, Christopher.Ramirez,Member,Female,Food and beverages,91.61,1,01-03-20,Cash,4.5805
670-79-6321,B,Man, Savannah.White,Member,Female,Home and lifestyle,94.59,7,01-08-20,Credit card,33.1065
852-62-7105,B,Man, Michael.Rodriguez,Normal,Female,Fashion accessories,83.25,10,08-09-20,Credit card,41.625
598-06-7312,B,Man, Scarlett.Taylor,Member,Male,Fashion accessories,91.35,1,19-12-20,Cash,4.5675
135-13-8269,B,Man, Gabriel.Thomas,Member,Female,Food and beverages,78.88,2,16-03-20,Cash,7.888
816-57-2053,A,Yan, Mia.Walker,Normal,Male,Sports and travel,60.87,2,23-04-20,Ewallet,6.087
628-90-8624,B,Man, Lucas.White,Member,Male,Health and beauty,82.58,10,24-02-20,Cash,41.29
856-66-2701,A,Yan, Charlotte.Rodriguez,Member,Male,Home and lifestyle,53.3,3,29-12-20,Ewallet,7.995
308-39-1707,A,Yan, Mason.Parker,Normal,Female,Fashion accessories,12.09,1,19-07-20,Credit card,0.6045
